timestamp,cache_miss,cpu_cycles,cpu_instructions,platform_power,node_type
1695116179,1051242.0,42506343495.66667,33304877905.666668,275.0,1
1695116182,794961.6666666666,42506202598.0,31801115102.0,274.0,1
1695116185,725124.6666666667,42354500531.666664,32347232425.666668,275.0,1
1695116188,978721.3333333333,42829326712.0,34293234546.0,274.0,1
1695116191,866976.6666666666,40248548185.66667,29749259457.0,274.0,1
1695116194,482668.0,531309131.3333334,377265118.6666667,171.0,1
1695116197,775662.3333333334,461682036.0,440247285.3333333,171.0,1
1695116200,405911.3333333334,360619997.0,311865039.3333334,171.0,1
1695116203,526820.6666666667,448221738.6666666,389879997.6666667,171.0,1
1695116206,930493.6666666667,825181161.0,586902245.6666666,184.0,1
1695116209,1559309.0,44175366317.666664,40605415768.333336,287.0,1
1695116212,1289900.3333333333,44618798056.0,42354010633.99999,285.0,1
1695116215,1343607.6666666665,44691388890.666664,43034508263.0,285.0,1
1695116218,1374575.3333333335,44619754259.666664,42586039646.333336,285.0,1
1695116221,1476648.6666666667,44591470736.333336,42413757808.666664,284.0,1
1695116224,1392755.0,44573362144.333336,42241318550.333336,284.0,1
1695116227,1473951.3333333335,44495123453.0,42207654900.33333,285.0,1
1695116230,1411956.0,44608563956.666664,42846371192.666664,286.0,1
1695116233,1446501.0,44625544710.666664,42872649960.0,285.0,1
1695116236,1300178.6666666665,44413883628.0,42567884479.666664,286.0,1
1695116239,613267.3333333334,4102619226.041667,2161108540.6666665,171.0,1
1695116242,419801.0,452279133.0,178086586.6666667,171.0,1
1695116245,283426.0,372030556.3333334,244097683.3333333,171.0,1
1695116248,239055.6666666667,333980783.3333333,197721306.3333333,171.0,1
1695116251,483353.6666666666,556655332.0,327836511.6666667,171.0,1
1695116254,1041921.0,2269567194.0,1196645808.0,293.0,1
1695116257,1964987.9999999998,44471691886.0,49788689268.333336,290.0,1
1695116260,2138203.333333333,44432160533.0,49270349545.33333,291.0,1
1695116263,2158029.666666667,44576721116.0,50232601161.0,292.0,1
